"","Date","Primary.Fur.Color","Running","Climbing","Eating","Foraging","Number"
"255",2018-10-17,"Cinnamon",FALSE,FALSE,FALSE,FALSE,4
"256",2018-10-17,"Cinnamon",FALSE,FALSE,FALSE,TRUE,9
"257",2018-10-17,"Cinnamon",FALSE,FALSE,TRUE,FALSE,4
"258",2018-10-17,"Cinnamon",FALSE,FALSE,TRUE,TRUE,2
"259",2018-10-17,"Cinnamon",FALSE,TRUE,FALSE,FALSE,2
"260",2018-10-17,"Cinnamon",FALSE,TRUE,TRUE,FALSE,1
"261",2018-10-17,"Cinnamon",TRUE,FALSE,FALSE,FALSE,2
"262",2018-10-17,"Gray",FALSE,FALSE,FALSE,FALSE,13
"263",2018-10-17,"Gray",FALSE,FALSE,FALSE,TRUE,53
"264",2018-10-17,"Gray",FALSE,FALSE,TRUE,FALSE,19
"265",2018-10-17,"Gray",FALSE,FALSE,TRUE,TRUE,26
"266",2018-10-17,"Gray",FALSE,TRUE,FALSE,FALSE,11
"267",2018-10-17,"Gray",FALSE,TRUE,FALSE,TRUE,4
"268",2018-10-17,"Gray",FALSE,TRUE,TRUE,FALSE,1
"269",2018-10-17,"Gray",FALSE,TRUE,TRUE,TRUE,1
"270",2018-10-17,"Gray",TRUE,FALSE,FALSE,FALSE,20
"271",2018-10-17,"Gray",TRUE,FALSE,FALSE,TRUE,11
"272",2018-10-17,"Gray",TRUE,FALSE,TRUE,FALSE,4
"273",2018-10-17,"Gray",TRUE,FALSE,TRUE,TRUE,5
"274",2018-10-17,"Gray",TRUE,TRUE,FALSE,FALSE,8
"275",2018-10-17,"Gray",TRUE,TRUE,FALSE,TRUE,1
"276",2018-10-17,"Gray",TRUE,TRUE,TRUE,FALSE,1
"277",2018-10-17,"Unknown",FALSE,FALSE,FALSE,FALSE,1
"278",2018-10-18,"Black",FALSE,FALSE,FALSE,TRUE,2
"279",2018-10-18,"Black",FALSE,FALSE,TRUE,FALSE,1
"280",2018-10-18,"Black",FALSE,TRUE,FALSE,FALSE,1
"281",2018-10-18,"Black",TRUE,FALSE,FALSE,FALSE,1
"282",2018-10-18,"Cinnamon",FALSE,FALSE,FALSE,FALSE,2
"283",2018-10-18,"Cinnamon",FALSE,FALSE,FALSE,TRUE,8
"284",2018-10-18,"Cinnamon",FALSE,FALSE,TRUE,FALSE,1
"285",2018-10-18,"Cinnamon",FALSE,FALSE,TRUE,TRUE,2
"286",2018-10-18,"Cinnamon",FALSE,TRUE,FALSE,FALSE,5
"287",2018-10-18,"Cinnamon",TRUE,FALSE,FALSE,FALSE,7
"288",2018-10-18,"Cinnamon",TRUE,FALSE,FALSE,TRUE,3
"289",2018-10-18,"Cinnamon",TRUE,TRUE,FALSE,FALSE,3
"290",2018-10-18,"Gray",FALSE,FALSE,FALSE,FALSE,14
"291",2018-10-18,"Gray",FALSE,FALSE,FALSE,TRUE,50
"292",2018-10-18,"Gray",FALSE,FALSE,TRUE,FALSE,21
"293",2018-10-18,"Gray",FALSE,FALSE,TRUE,TRUE,6
"294",2018-10-18,"Gray",FALSE,TRUE,FALSE,FALSE,18
"295",2018-10-18,"Gray",FALSE,TRUE,FALSE,TRUE,2
"296",2018-10-18,"Gray",FALSE,TRUE,TRUE,FALSE,2
"297",2018-10-18,"Gray",FALSE,TRUE,TRUE,TRUE,2
